Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),Solution(s)
799,2 3 6 10,9.37,92.4%,9.62,3.89,"(10-6)*3*2, (10-3*2)*6, (10+6)*3/2, (10+2)*6/3, (10-2)*(6-3), (6/3+10)*2 "
800,3 6 12 13,9.38,86.4%,9.33,4.57,(13+3-12)*6 
801,1 3 5 7,9.39,89.5%,9.68,4.19,"(7+5)*(3-1), (5+1)*(7-3) "
802,2 2 3 11,9.4,86.2%,9.38,4.25,(11+3-2)*2 
803,1 5 10 13,9.43,88.7%,9.43,3.56,(13-1)*10/5 
804,4 4 8 13,9.43,86.4%,9.3,4.52,"(4*4-13)*8, (13-8)*4+4 "
805,3 7 8 9,9.44,87.3%,9.44,4,(9+7-8)*3 
806,3 4 6 12,9.45,93.4%,9.94,3.98,"12*4*3/6, (12+6)*4/3, (6+3)*4-12, (6*3-12)*4, (12-4)*(6-3), (6-3)*4+12, (4-6/3)*12 "
807,2 3 4 11,9.47,87.9%,9.61,4.31,"(11-3-2)*4, (11+4-3)*2, (11+3)*2-4 "
808,6 6 8 13,9.47,83.2%,9.14,4.54,(13-8)*6-6 
809,3 7 7 10,9.48,89.5%,9.82,4.36,"7*3+10-7, (10-7)*7+3 "
810,2 2 5 11,9.49,87.6%,9.73,4.58,"(11-5)*(2+2), (11-5)*2*2 "
811,6 6 6 12,9.49,89.2%,9.65,4.62,"(6+6)*12/6, (6-12/6)*6 "
812,2 2 6 8,9.5,95.3%,9.91,3.55,"(8-2-2)*6, (8-2*2)*6, 8*2+6+2, (6+2)*2+8, (8+6-2)*2, (8-2)*(6-2) "
813,2 3 4 4,9.5,94.2%,9.92,3.65,"(3+2)*4+4, 4*4*3/2, (4-2)*4*3 "
814,2 3 8 12,9.5,93.4%,10.03,3.92,"(12-8)*3*2, (8-3*2)*12, 8*3/2+12, (8-2)*12/3, (12-8/2)*3, (12/2-3)*8, (8*3-12)*2, (12/3+8)*2 "
815,8 8 8 13,9.5,84.2%,9.44,4.41,(8+8-13)*8 
816,2 3 3 9,9.51,93.2%,9.95,3.87,"(3+2)*3+9, (9+2-3)*3, 9*2+3+3, (9-2)*3+3 "
817,7 12 12 13,9.53,82.6%,9.26,4.29,"12*12/(13-7), (13*12+12)/7 "
818,4 4 5 10,9.54,85.9%,9.6,4.95,"(10-5)*4+4, (10/5+4)*4 "
819,2 10 11 11,9.55,86.3%,9.46,4.06,(11+11-10)*2 
820,6 8 11 13,9.56,86.4%,9.82,4.75,"8*6-13-11, 8*6/(13-11) "
821,5 9 9 11,9.58,89.7%,9.88,3.92,11+9+9-5 
822,1 2 7 9,9.59,93.4%,10.09,3.93,"9*2+7-1, 7*2+9+1 "
823,5 7 8 9,9.59,88.5%,9.74,4.26,"(7+5-9)*8, 8*5-9-7 "
824,3 3 6 9,9.61,94.4%,10.26,4,"3*3+9+6, 6*3+9-3, 9*3+3-6, (6-3)*9-3, (9+3)*6/3, (9-3)*3+6 "
825,5 6 7 12,9.61,84.5%,9.56,4.45,"(7+5)*12/6, (7-5)*6+12 "
826,3 3 4 9,9.62,92.3%,9.96,3.91,"4*3+9+3, (9+3-4)*3, (9/3+3)*4 "
827,4 5 7 12,9.63,87.9%,9.6,4.07,"(5+4-7)*12, 12*4/(7-5) "
828,2 3 8 11,9.64,92.7%,10.23,4.05,"11+8+3+2, 8*2+11-3, (11-2)*8/3, (11-3)*2+8 "
829,3 5 5 9,9.65,83.4%,9.19,4.23,"(9-5/5)*3, (9/5+3)*5 "
830,3 9 11 12,9.66,90.4%,10.14,4.57,"(11-3)*(12-9), 12/3+11+9, (11+9-12)*3 "
831,5 8 9 12,9.66,92.2%,10.09,4.05,"12+9+8-5, 12*8/(9-5) "
832,6 6 6 8,9.66,91.5%,10,4.3,"(6+6)*(8-6), (6+6-8)*6 "
833,8 8 9 13,9.66,80.9%,9.16,5,(13-9)*8-8 
834,1 6 9 10,9.67,92.1%,10,3.9,"10+9+6-1, (10/6+1)*9 "
835,2 6 8 8,9.7,93%,10.13,4.17,"8+8+6+2, (6-2)*8-8, (8-8/2)*6 "
836,3 4 7 11,9.7,86.7%,9.54,4.76,"(11+7)*4/3, (11-3)*(7-4), (11+4-7)*3 "
837,3 3 6 11,9.72,90.2%,10.02,4.54,"11*3-6-3, (11+3-6)*3, (11-3)*(6-3) "
838,2 5 6 10,9.73,88.5%,9.91,4.69,"(5-2)*10-6, 10*6*2/5, (10+5)*2-6, (10/5+2)*6 "
839,3 8 9 12,9.73,90.2%,10.19,4.59,"(8+3-9)*12, (9-3)*(12-8) "
840,1 9 11 13,9.74,87.6%,9.86,4.22,(13-1)*(11-9) 
841,4 5 5 7,9.77,82.5%,9.28,4.4,(7-5/5)*4 
842,2 4 4 7,9.78,89.3%,9.87,4.44,"(7-4)*4*2, (7-2)*4+4 "
843,3 4 5 9,9.8,85%,9.6,4.71,"(5*3-9)*4, (9+4-5)*3 "
844,4 7 8 13,9.82,90.9%,10.35,4.48,"13+8+7-4, (13-7)*(8-4) "
845,5 11 12 12,9.85,82.6%,9.36,4.41,"12*12/(11-5), (12*11-12)/5 "
846,4 7 7 11,9.87,87.6%,9.98,4.81,"7*4+7-11, (11-7)*7-4 "
847,5 6 8 9,9.87,89.8%,10.14,4.45,"(8+5-9)*6, (9+6)*8/5 "
848,3 3 5 9,9.88,87.5%,9.89,4.18,"(3+3)*(9-5), (5+3)*9/3, (9+3)*(5-3), (9/3+5)*3 "
849,4 7 11 12,9.88,86.2%,9.99,5,(11+7-12)*4 
850,2 3 6 11,9.91,90.2%,10.2,4.51,"(11-3)*6/2, (11-6/2)*3, 11*2+6/3, 11*6/3+2 "
851,6 6 8 12,9.91,90.7%,10.22,4.36,"8*6*6/12, 12*6-8*6, (8-6)*6+12, (12+6)*8/6 "
852,4 5 7 11,9.92,87.1%,10.13,5.11,"5*4+11-7, (11-7)*5+4 "
853,3 4 6 10,9.94,90%,10.35,4.9,"6*3+10-4, 10*6/3+4, (10+4-6)*3, (10-4)*3+6 "
854,2 7 9 13,9.95,87.4%,10.1,4.91,"9*2+13-7, 13*2+7-9, (9-7)*13-2 "
855,3 3 7 9,9.95,90.9%,10.21,3.87,"7*3+9/3, (9-3)*(7-3), 9*7/3+3 "
856,3 5 9 13,9.95,91.5%,10.32,4.21,"13+9+5-3, (13-5)*9/3, (13*9+3)/5 "
857,3 3 3 9,9.96,84.1%,9.75,4.99,(9-3/3)*3 
858,5 7 9 13,9.96,91.2%,10.43,4.08,"13+9+7-5, (13-7)*(9-5) "
859,1 1 4 10,9.97,84.6%,9.66,5.23,(1+1)*10+4 
860,3 8 8 11,9.97,90.1%,10.09,4.56,11+8+8-3 
861,5 6 9 12,9.97,87.2%,10.05,4.37,"(6+5-9)*12, (12-6)*(9-5) "
862,2 4 5 9,9.99,86.4%,9.98,4.82,"(4+2)*(9-5), (9+2-5)*4, (9+5)*2-4 "
863,6 12 13 13,10,87.4%,10.01,3.8,13+13-12/6 
864,6 9 10 11,10.02,91.7%,10.32,4.15,"11+10+9-6, 10*9-11*6 "
865,1 5 5 11,10.07,87.8%,10.18,4.29,(11-5)*(5-1) 
866,1 7 12 12,10.07,80.4%,9.3,4.6,12*12/(7-1) 
867,2 2 4 9,10.07,90.6%,10.31,4.5,"9*2+4+2, (9+4)*2-2 "
868,1 2 5 10,10.08,91.9%,10.39,4.13,"10*2+5-1, 10*5/2-1 "
869,3 7 8 13,10.08,84.6%,10.07,5.21,"(13-7-3)*8, 13*3-8-7 "
870,2 3 9 13,10.11,87.7%,10.39,5.36,"(13-9)*3*2, (13-2)*3-9, (13*3+9)/2 "
871,4 9 9 10,10.11,89.8%,10.41,4.23,10+9+9-4 
872,1 5 6 13,10.12,90.7%,10.47,4.8,(13+6+5)*1 
873,2 4 6 13,10.14,87.3%,10.39,5.13,"13*2+4-6, (6-4)*13-2, (13-4)*2+6, 4/(13/6-2) "
874,4 4 5 7,10.16,85.1%,9.76,4.71,(7+4-5)*4 
875,2 3 4 10,10.19,92%,10.57,4.44,"10*3-4-2, (10+2-4)*3, (10-4/2)*3, 4*3+10+2, (4+3)*2+10 "
876,4 9 12 12,10.19,89.6%,10.56,4.49,"(12-4)*(12-9), 12/4+12+9, (12*9-12)/4, (12-9)*4+12 "
877,6 10 12 12,10.22,88.7%,10.51,4.63,"12/6+12+10, (12-10)*6+12 "
878,3 3 6 10,10.23,86.6%,10.09,4.39,"(3+3)*(10-6), (10-3-3)*6, (6*3-10)*3, (10-6/3)*3 "
879,1 8 10 11,10.24,87.2%,10.27,3.58,(11+1)*(10-8) 
880,6 7 9 12,10.24,86.2%,10.26,5.07,"(9+7-12)*6, (9-7)*6+12 "
881,2 4 5 11,10.26,87.2%,10.37,4.82,"4*2+11+5, (11+5-4)*2 "
882,4 5 6 10,10.27,90.5%,10.75,4.5,"5*4+10-6, 6*5+4-10, (10-4)*5-6, (10-6)*5+4 "
883,1 7 9 10,10.29,87%,10.17,4.04,(9-1)*(10-7) 
884,6 6 8 8,10.31,86.2%,10.1,4.65,8*6/(8-6) 
885,6 7 8 9,10.31,84.4%,10.06,4.58,8*6/(9-7) 
886,6 11 11 12,10.31,86.7%,10.14,4.1,12/6+11+11 
887,2 4 8 9,10.35,83.6%,9.99,4.52,(9-4-2)*8 
888,1 5 10 11,10.36,86.1%,10.15,3.79,(11+1)*10/5 
889,1 3 3 11,10.38,88.3%,10.33,4.82,(11-3)*3*1 
890,2 4 12 12,10.38,86.1%,10.3,4.8,"12*12/(4+2), 12*4-12*2, (12/2-4)*12, (12-12/2)*4 "
891,6 8 9 9,10.38,86.3%,10.43,4.37,"(9+9)*8/6, 9*8/(9-6) "
892,3 3 3 5,10.39,85.6%,9.94,4.3,5*3+3*3 
893,2 3 6 9,10.4,93.3%,10.89,4.26,"(9-3-2)*6, (6+2)*9/3, 6*2+9+3, (9-3)*(6-2), (3-2/6)*9, 9*6/2-3, 9*3-6/2, (9+6-3)*2 "
894,5 5 5 9,10.4,87.6%,10.22,4.26,9+5+5+5 
895,1 11 11 13,10.45,87.7%,10.35,4.33,"(11+1)*(13-11), (13/11+1)*11 "
896,4 9 11 12,10.45,88.1%,10.49,4.39,"(9+4-11)*12, 12*11/4-9, 12*4/(11-9) "
897,7 8 9 13,10.46,83.9%,10.11,4.41,(9+7-13)*8 
898,5 6 8 12,10.47,87.6%,10.51,4.18,"(12+8)*6/5, 12*6/(8-5), (5-12/6)*8 "
899,6 8 9 11,10.47,84.2%,10.3,4.92,8*6/(11-9) 
900,1 2 4 7,10.48,89%,10.77,5.08,"(7+1-2)*4, (7+4+1)*2 "
901,1 2 8 13,10.48,91.4%,10.72,4.82,13+8+2+1 
902,4 6 7 10,10.48,86.9%,10.61,4.94,"(6-4)*7+10, 7*4+6-10, (7-4)*10-6, (10-6)*7-4 "
903,3 4 8 11,10.49,87%,10.39,5.06,"(11+3-8)*4, 8*4+3-11, (11-3)*4-8, 8/(4-11/3) "
904,5 5 6 11,10.5,87.1%,10.48,4.78,"6*5+5-11, (11-5)*5-6 "
905,3 4 4 13,10.51,88.8%,10.57,4.42,"13+4+4+3, (13-4-3)*4 "
906,1 4 5 13,10.53,87.9%,10.69,4.66,(13-5)*(4-1) 
907,3 3 6 13,10.53,86.6%,10.73,5.48,"(13-3*3)*6, (13-3)*3-6, (13-6)*3+3 "
908,2 4 6 12,10.54,94.5%,11.26,4.82,"12+6+4+2, (4+2)*6-12, (4*2-6)*12, (12-4*2)*6, (4-2)*6+12, 6*4/2+12, (6+2)*12/4, (12-4)*6/2, (6*4-12)*2, 12/(2-6/4) "
909,2 6 12 12,10.54,89.2%,10.85,5.22,"12*6/2-12, 12/2+12+6, (12+6)*2-12, (12-6)*2+12 "
910,7 9 9 13,10.54,87.6%,10.57,4.69,13+9+9-7 
911,2 5 8 11,10.55,85.7%,10.65,5.28,"(11-5)*8/2, (11+5)*2-8 "
912,2 6 8 12,10.55,94.2%,11.26,4.52,"12+8+6-2, 12*8/(6-2), (8*2-12)*6, (8-2)*6-12, (12-6)*8/2, (6-8/2)*12, 8*6-12*2 "
913,3 6 9 11,10.55,86.6%,10.33,4.85,"(6-3)*11-9, (11-3)*(9-6), (11+6-9)*3, (11-6)*3+9 "
914,3 6 9 12,10.55,92.9%,10.98,4.22,"12*6*3/9, 12+9+6-3, (9+3)*12/6, (9-3)*6-12 "
915,1 5 9 13,10.57,84.7%,10.48,4.97,(5+1)*(13-9) 
916,3 4 6 11,10.58,88.9%,10.76,4.75,"11+6+4+3, (11-4-3)*6, 6/(3-11/4) "
917,1 7 9 11,10.61,85.9%,10.46,4.32,(11+1)*(9-7) 
918,5 5 8 10,10.63,80.5%,10.01,4.13,"(10+5)*8/5, (5-10/5)*8 "
919,1 3 5 9,10.64,90.8%,10.94,4.71,"(9-3)*(5-1), (5*3+9)*1, (5/3+1)*9 "
920,6 9 12 13,10.65,88.3%,10.75,4.43,"(9+6-13)*12, (12-6)*(13-9), 12/6+13+9 "
921,2 2 2 5,10.67,78.6%,9.52,4.99,(5*2+2)*2 
922,2 4 6 7,10.68,89.8%,10.77,4.41,"(6+2)*(7-4), 7*4+2-6, (6-2)*7-4, 7*2+6+4, 6/(2-7/4) "
923,4 4 6 13,10.68,82.7%,10,5.32,(13-6)*4-4 
924,1 3 6 11,10.7,88.1%,10.64,4.36,"(11+1)*6/3, (11-1)*3-6 "
925,5 6 8 10,10.7,87.1%,10.75,4.66,"8*6*5/10, 8*5-10-6, (8-5)*10-6 "
926,2 2 8 8,10.72,91.2%,11.05,4.81,"(2+2)*8-8, 8*2*2-8, (8-2)*8/2, (8/2+8)*2 "
927,4 7 9 13,10.73,84.5%,10.77,5.94,"7*4+9-13, (13-9)*7-4 "
928,4 5 6 8,10.74,87.3%,10.67,4.49,(5+4-6)*8 
929,4 5 7 9,10.74,87%,10.89,5.25,"7*4+5-9, (7-4)*5+9, 9*4-7-5, (9-5)*7-4 "
930,3 3 7 12,10.75,84.2%,10.47,5.47,"(3*3-7)*12, (12+3-7)*3, (7-3)*3+12 "
931,3 4 5 6,10.75,84%,10.54,5.38,(5+3-4)*6 
932,3 3 6 7,10.78,88.5%,11.05,4.8,"7*3+6-3, (6-3)*7+3, (7+3)*3-6 "
933,1 4 4 8,10.82,89.7%,10.97,5.58,"(8-1)*4-4, (4*4+8)*1 "
934,2 2 7 12,10.84,83.6%,10.45,4.73,7*2+12-2 
935,4 6 6 9,10.85,87.9%,11.08,5.55,"(6-4)*9+6, 9*4-6-6, (9-4)*6-6 "
936,5 8 11 12,10.85,87.1%,11.03,4.46,"(8+5-11)*12, (11+5)*12/8, (11-5)*(12-8) "
937,6 6 7 12,10.86,84.3%,10.56,5.02,"7*6-12-6, (12-7)*6-6 "
938,1 3 9 9,10.87,84.9%,10.44,4.22,(9-1)*9/3 
939,2 3 6 6,10.87,92.3%,11.34,4.46,"(3+2)*6-6, 6*6*2/3, (6+2)*(6-3), (6+3)*2+6, (6*3-6)*2, (6/3+2)*6 "
940,2 3 9 10,10.88,89.9%,11.11,4.45,"10+9+3+2, 10*3/2+9, (9*2-10)*3, (10-2)*9/3 "
941,4 5 10 12,10.89,86.4%,10.68,4.52,"12*5*4/10, (4-10/5)*12 "
942,6 7 8 11,10.91,83.9%,10.7,5.28,"(11+7)*8/6, (8+7-11)*6 "
943,1 2 3 13,10.92,91.6%,11.28,4.86,"13*2+1-3, (3-1)*13-2 "
944,1 2 7 11,10.92,88.3%,11.07,4.9,7*2+11-1 
945,2 5 10 10,10.93,78.7%,10.04,4.31,"(10+2)*10/5, (10/5+10)*2 "
946,6 9 9 11,10.97,82.2%,10.16,5.19,"(9-6)*11-9, (11-9)*9+6 "
947,6 7 10 12,11.01,85.4%,11,4.92,"12*7/6+10, 12*7-10*6, 12*6/(10-7) "
948,2 3 6 13,11.02,90%,11.2,4.64,"13+6+3+2, 13*2-6/3, 13*6/3-2 "
949,2 5 7 7,11.03,82.5%,10.55,4.76,5*2+7+7 
950,5 6 7 13,11.04,86.2%,11.01,5.65,"6*5+7-13, (13+7)*6/5, 7*6-13-5, (13-7)*5-6 "
951,6 11 12 13,11.05,79.8%,10.09,5.26,(13-11)*6+12 
952,3 4 6 8,11.06,90.5%,11.55,5.12,"(8-6)*4*3, (4*3-8)*6, (8+4)*6/3, (8-6/3)*4, (8/4+6)*3 "
953,5 10 12 13,11.06,83%,10.53,4.56,(10+5-13)*12 
954,1 4 4 11,11.07,86.5%,11.05,5.51,(11-4-1)*4 
955,1 7 10 13,11.07,83.6%,10.61,4.74,(7+1)*(13-10) 
956,1 2 6 10,11.1,86.6%,11.07,5.04,"(2+1)*10-6, (6+1)*2+10, (10-1)*2+6, (10/2-1)*6 "
957,1 9 10 13,11.16,83.9%,10.67,4.63,(9-1)*(13-10) 
958,1 3 8 13,11.21,90.2%,11.49,5.17,(13+8+3)*1 
959,1 2 2 9,11.22,82.4%,10.43,4.75,(9+2+1)*2 
960,1 6 6 6,11.23,85.9%,10.69,5.16,(6-1)*6-6 
961,3 3 4 11,11.24,88.5%,11.33,5.6,"3*3+11+4, (11-4)*3+3 "
962,4 4 8 12,11.24,92%,11.95,5.28,"12*4*4/8, 8*4+4-12, (4-8/4)*12, (12-4)*4-8 "
963,6 10 12 13,11.25,81.8%,10.66,5,12*6/(13-10) 
964,7 8 8 12,11.25,82.5%,10.68,4.66,(8+7-12)*8 
965,2 7 12 13,11.29,80%,10.4,5.27,"12/(7-13/2), (13-7)*2+12 "
966,3 4 9 13,11.32,78.9%,9.97,5.6,(13+4-9)*3 
967,2 4 5 6,11.35,91.1%,11.75,4.5,"6*5-4-2, (4+2)*5-6, 5*4+6-2, (6-2)*5+4, (5+4)*2+6 "
968,2 6 8 13,11.36,86.5%,11.25,5.25,"6/2+13+8, 13*2+6-8, (8-6)*13-2 "
969,3 5 7 10,11.36,84.7%,11.04,5.28,"(5+3)*(10-7), (5-3)*7+10, (10+5-7)*3 "
970,5 9 12 12,11.37,82.8%,11.12,4.95,"(9+5-12)*12, (12*9+12)/5 "
971,2 3 4 7,11.38,86.5%,11.17,4.99,"(7+2-3)*4, (4+2)*(7-3), (7+3)*2+4 "
972,2 2 5 12,11.39,84%,11.03,5.31,"5*2+12+2, 12/(5/2-2) "
973,3 3 9 12,11.4,87.1%,11.39,5.11,"12*3-9-3, (9+3)*3-12, (9-3)*12/3 "
974,2 3 4 9,11.42,88.3%,11.45,4.9,"9*4*2/3, (9+3)*(4-2), (9+3)*4/2 "
975,2 3 10 12,11.42,87%,11.55,4.29,"12*10/(3+2), 12*3-10-2, (10+2)*3-12, 10*2+12/3, (10*2-12)*3, (10/2-3)*12, 10*3-12/2 "
976,3 3 6 12,11.42,87.3%,11.64,5.96,"12+6+3+3, (3+3)*6-12 "
977,5 5 8 13,11.44,81.1%,10.9,4.61,"(13-5-5)*8, (13-5)*(8-5) "
978,2 6 7 11,11.46,82.7%,10.97,5.4,(11+7-6)*2 
979,5 8 10 11,11.46,87.5%,11.27,4.94,11+10+8-5 
980,1 5 6 7,11.53,89.4%,11.83,4.83,"6*5+1-7, (7-1)*5-6 "
981,2 4 6 8,11.53,93.5%,11.94,4.42,"8*6/(4-2), 8*6*2/4, 8*4-6-2, (6+2)*4-8, 6*2+8+4, (6-2)*4+8, (8/4+2)*6, (8+6)*2-4 "
982,5 8 8 8,11.55,81.1%,11,5.43,"8*5-8-8, 8*8-8*5 "
983,6 8 8 12,11.56,88.1%,11.72,5.1,"12*8/6+8, (8+8-12)*6 "
984,4 9 10 13,11.59,82.3%,11.09,4.95,"(10-4)*(13-9), (10+9-13)*4 "
985,7 7 8 11,11.59,79.9%,10.52,4.76,(7+7-11)*8 
986,3 4 6 6,11.6,90.6%,11.75,4.8,"4*3+6+6, 6*6-4*3, (6+4)*3-6, (6+6-4)*3 "
987,1 3 7 10,11.64,86.2%,11.57,5.45,"(3-1)*7+10, 10*3+1-7 "
988,2 4 9 12,11.64,87.1%,11.54,4.94,"(12-9)*4*2, (9*2-12)*4, 12/(9/2-4), (9*4+12)/2, (12/4+9)*2 "
989,2 3 3 10,11.66,85%,11.7,5.07,"10*3-3*2, (10/2+3)*3 "
990,4 4 5 11,11.67,85.2%,11.5,4.85,"11+5+4+4, 11*4-5*4 "
991,4 10 12 13,11.69,81.6%,10.92,5.77,"(12-4)*(13-10), (13-10)*4+12 "
992,2 4 4 6,11.71,90%,11.98,4.84,"(4*2-4)*6, 4*4+6+2, (4+4)*6/2, (6+4)*2+4 "
993,5 6 6 8,11.75,81.1%,11.06,6.23,(8-5)*6+6 
994,1 5 12 12,11.78,80.5%,10.73,5.12,12*12/(5+1) 
995,2 3 4 5,11.78,84.4%,11.28,5.67,"(5+3-2)*4, (5+4+3)*2 "
996,3 9 10 13,11.78,82.5%,11.66,6.73,"9*3+10-13, (13-10)*9-3 "
997,4 4 7 10,11.78,74.8%,9.55,4.77,(4+4)*(10-7) 
998,8 8 10 12,11.78,78.2%,10.35,5.98,(12-10)*8+8 
999,4 4 9 12,11.8,78.2%,10.65,5.02,"(4+4)*(12-9), (9-12/4)*4 "
1000,1 3 4 8,11.81,89.6%,12.03,4.84,"(3+1)*4+8, (8+1-3)*4, (8+4)*(3-1), 8/(4/3-1) "
1001,2 4 6 11,11.81,85%,11.47,5.65,"11*2+6-4, (6-4)*11+2, (11+4)*2-6, 4/(2-11/6) "
1002,2 2 8 9,11.82,86.7%,11.96,5.25,9*2+8-2 
1003,3 7 9 11,11.82,88.4%,11.96,4.87,"11+9+7-3, (9-3)*(11-7) "
1004,2 3 5 7,11.83,89.4%,11.92,4.97,"7*3+5-2, (5-2)*7+3, 5*3+7+2 "
1005,1 5 7 9,11.84,84.9%,11.36,4.97,(7-1)*(9-5) 
1006,1 4 7 7,11.85,85.1%,11.6,4.82,(7+1)*(7-4) 
1007,1 6 7 9,11.85,84.3%,11.5,4.8,(7+1)*(9-6) 
1008,1 3 7 12,11.86,85.4%,11.38,5.14,(7-1)*12/3 
1009,3 3 5 13,11.87,85.2%,11.6,4.83,"13+5+3+3, 13*3-5*3 "
1010,3 4 8 12,11.91,87.7%,11.83,5.67,"12*4/3+8, 12*4-8*3, 12*3-8-4, (8+4)*3-12, (12+4-8)*3, (8-4)*3+12 "
1011,3 6 7 13,11.91,82.5%,11.19,6.15,"6*3+13-7, (13-7)*3+6 "
1012,4 5 6 13,12.01,78.3%,10.62,5.22,(13-5-4)*6 
1013,7 8 10 10,12.03,78.9%,11.21,5.3,(10-8)*7+10 
1014,8 9 9 12,12.03,82.3%,11.23,4.86,9*8/(12-9) 
1015,4 5 5 10,12.04,81.7%,11.21,4.51,10+5+5+4 
1016,4 8 11 13,12.06,82.4%,11.22,5.49,"(8+4)*(13-11), (11+8-13)*4 "
1017,3 3 5 12,12.07,86.9%,12,5.39,"5*3+12-3, (12-5)*3+3 "
1018,1 4 8 9,12.09,88.7%,12.28,5.3,"9*8/(4-1), 8*4+1-9, (9-1)*4-8 "
1019,3 5 10 13,12.09,82.5%,11.27,5.48,"(5+3)*(13-10), 13*3-10-5, (13+5-10)*3 "
1020,3 4 6 9,12.13,82.6%,11.42,5.82,"(9+3-6)*4, (9+3)*(6-4) "
1021,4 6 7 12,12.13,81.5%,11.69,5.75,"12*6/(7-4), (7-12/4)*6 "
1022,2 7 9 11,12.17,83.4%,11.72,5.56,"11*2+9-7, (9-7)*11+2 "
1023,3 5 6 10,12.17,85.7%,11.94,5.67,"10+6+5+3, (10/5+6)*3 "
1024,3 5 7 9,12.17,86%,11.89,5.12,"9+7+5+3, 9*5-7*3, (5-7/3)*9, (9+3)*(7-5) "
1025,6 8 9 12,12.18,86.2%,12.07,5.23,"9*8/6+12, (9+6-12)*8 "
1026,5 5 8 12,12.2,79.2%,11.17,5.16,(5+5-8)*12 
1027,1 3 3 6,12.21,87.3%,12.19,5.22,"(6+3-1)*3, (6+1)*3+3 "
1028,1 3 7 7,12.22,85.2%,11.87,4.85,(7-1)*(7-3) 
1029,2 5 6 6,12.23,78.3%,10.7,6.22,"(5*2-6)*6, (5-2)*6+6 "
1030,2 5 8 10,12.24,82.2%,11.34,5.02,"(10-5-2)*8, (10-2)*(8-5) "
1031,3 7 8 11,12.29,83.1%,11.76,6.05,"7*3+11-8, (8-3)*7-11, (11-8)*7+3 "
1032,2 3 7 13,12.3,86.2%,12.1,5.45,"7*2+13-3, (13+2-7)*3 "
1033,2 6 10 13,12.3,84.8%,11.82,5.63,"(6+2)*(13-10), 10/2+13+6, (13-6)*2+10 "
1034,2 3 5 13,12.33,86.1%,12.24,5.44,"3*2+13+5, 13*2+3-5, (5-3)*13-2 "
1035,3 7 9 12,12.33,85.6%,12.07,5.72,"7*3+12-9, (7-3)*9-12, (12-7)*3+9, (12-9)*7+3 "
1036,6 7 9 9,12.34,80.5%,11.5,6.26,"7*6-9-9, (9+7)*9/6, (9-7)*9+6 "
1037,4 6 6 12,12.36,85.8%,12.14,6.15,"(6-4)*6+12, 12*6/4+6 "
1038,5 8 10 12,12.38,83.9%,11.65,5.31,(10+5-12)*8 
1039,1 5 8 11,12.39,89.3%,12.72,5.61,"(8-1)*5-11, (11+8+5)*1 "
1040,4 6 8 13,12.4,80.1%,11.29,5.27,(13-6-4)*8 
1041,4 8 8 10,12.41,85.6%,12.2,5.73,"(8+4)*(10-8), 10*4-8-8, 8*8-10*4, (8+8-10)*4 "
1042,2 4 4 10,12.49,89.9%,12.74,5.31,"(4-2)*10+4, 10*4/2+4, 4*4+10-2, (10+4)*2-4 "
1043,2 5 7 13,12.51,84.3%,12.2,5.85,"13*2+5-7, 7*5+2-13, (7*5+13)/2, (7-5)*13-2 "
1044,2 5 5 7,12.52,82.3%,11.95,5.09,7*2+5+5 
1045,7 8 9 10,12.54,79.4%,11.37,5.52,9*8/(10-7) 
1046,2 9 11 13,12.61,82.1%,11.92,5.74,"13*2+9-11, (11-9)*13-2 "
1047,3 3 3 11,12.61,78.7%,11.32,5.72,11*3-3*3 
1048,1 2 7 12,12.68,76.5%,10.48,6.01,(7-1)*2+12 
1049,6 9 9 12,12.73,86.8%,12.56,5.89,12+9+9-6 
1050,3 4 8 9,12.77,88.1%,12.81,5.29,"9+8+4+3, (4*3-9)*8, (9+3)*8/4, (9-3)*(8-4) "
1051,4 4 6 10,12.79,88.3%,12.74,5.32,"10+6+4+4, (6-4)*10+4 "
1052,4 8 9 13,12.79,82%,11.71,6.44,"8/4+13+9, (13-9)*4+8 "
1053,2 3 6 12,12.82,91.5%,13.23,5.38,"3*2+12+6, 6*3*2-12, 12*3/2+6, 12*3-6*2, (12+2-6)*3, (6-2)*3+12, (12-2)*3-6, 6*3+12/2, (12+3)*2-6, (12-3)*2+6 "
1054,2 5 7 11,12.88,82%,12.21,6.09,"11*2+7-5, (7-5)*11+2, (11*5-7)/2 "
1055,2 4 4 5,12.92,81.3%,11.87,5.49,"(5+2)*4-4, (5*2-4)*4, (4+4)*(5-2) "
1056,1 4 5 7,12.93,87.9%,12.84,5.38,"7*4+1-5, (5-1)*7-4 "
1057,4 8 12 12,12.94,85.8%,12.4,6.01,"(12+4)*12/8, (4-12/12)*8 "
1058,1 4 7 9,12.95,82.1%,12.17,5.19,(9-1)*(7-4) 
1059,2 5 11 12,12.97,77.1%,11.15,5.83,"12/(11/2-5), (11-5)*2+12 "
1060,7 7 9 10,12.98,75.7%,11.53,5.26,(9-7)*7+10 
1061,7 10 10 12,13.05,77.8%,11.81,5.69,(12-10)*7+10 
1062,4 4 7 8,13.06,83.9%,12.8,5.89,"7*4+4-8, (8-4)*7-4 "
1063,7 9 10 11,13.06,77.2%,11.51,5.72,"(10-7)*11-9, (11-9)*7+10 "
